Year,country,prop_elapsed,change_GDP,revenue,gross_debt,inflation,execrlc,frac,govfrac,max_pm_gov_leg,vote_share,union_density,dem_age,eu,openness,BBR,DR,legislative_type,transparency,structural_bal,log_con_inv,log_con_inv_t,log_gdp_dol,fisc_cent,max_elf,log_gen_exp,log_cent_exp,single_party
1997,United Kingdom,1,3.127,32.929,43.867,70.067,2,0.564150989,0,10,41.90000153,31.94366197,117,1,50.18354728,1,1,1,NA,-1.433,2.138855833,2.225694446,28.06091213,0.927712831,NA,12.73524984,12.6602168,1
1998,United Kingdom,0.2,3.191,34.234,41.642,71.158,0,0.527689636,1.11E-16,10,43.20000076,30.44891505,118,1,48.26150548,1,1,1,NA,0.006,2.077213854,2.171078927,28.11564238,0.918849693,NA,12.7707243,12.68609158,0
1999,United Kingdom,0.4,3.283,34.787,39.553,72.117,0,0.527689636,1.11E-16,10,43.20000076,30.12953368,119,1,48.76418377,1,1,1,NA,0.728,2.101223877,2.207244944,28.13311069,0.918566122,NA,12.80481024,12.71986885,0
2000,United Kingdom,0.6,3.745,35.105,36.98,72.692,0,0.527689636,1.11E-16,10,43.20000076,30.18060031,120,1,51.53089941,1,1,1,NA,0.763,2.420556258,2.526501838,28.122933,0.912366256,NA,12.8628644,12.77115063,0
2001,United Kingdom,0.8,2.726,35.193,34.304,73.592,0,0.527689636,1.11E-16,10,43.20000076,29.55937893,121,1,51.78048458,1,1,1,NA,-0.018,2.24924639,2.356015457,28.10913551,0.91139747,NA,12.92970296,12.83692678,0
2002,United Kingdom,0.2,2.397,33.885,34.235,74.5,0,0.53668189,1.11E-16,10,40.70000076,29.31976477,122,1,50.34232237,1,1,1,NA,-2.278,2.3160638,2.4291135,28.19495329,0.914941266,NA,13.00423953,12.91534413,0
2003,United Kingdom,0.4,3.466,33.813,35.756,75.525,0,0.53668189,1.11E-16,10,40.70000076,29.61930518,123,1,49.47157308,1,1,1,50,-3.776,2.297724859,2.410394514,28.33831279,0.921230788,NA,13.09268737,13.01064268,0
2004,United Kingdom,0.6,2.528,34.488,38.661,76.542,0,0.53668189,1.11E-16,10,40.70000076,28.95705521,124,1,49.51136982,1,1,1,50,-4.12,2.068000206,2.183563531,28.50189598,0.91653063,NA,13.17228433,13.08512454,0
2005,United Kingdom,0.8,2.972,34.814,40.014,78.1,0,0.53668189,1.11E-16,10,40.70000076,28.55242472,125,1,51.93899823,1,1,1,50,-4.374,1.718692816,1.834717519,28.55054661,0.915484997,NA,13.25911383,13.17081253,0
2006,United Kingdom,0.2,2.503,35.513,41.017,79.933,0,0.594192982,0,10,35.18999863,28.21906856,126,1,55.82550643,1,1,1,50,-4.209,2.021992732,2.140906479,28.61619591,0.916609056,NA,13.30034721,13.21327298,1
